No.,Time,Comment,Scramble
61,12.449,G,B D2 U2 F' U2 R2 B2 F' D2 L2 B U' R B' R2 B' L R F' U2
62,14.567,G,U2 R2 D2 U' R2 D L2 R2 U' L2 U' B D R F' R' B' U' R B2 F2
63,14.276,Y,B' R2 F' L2 B U2 F2 L2 F D2 U2 R' F2 D' B' L D R2 B' R D'
64,9.534,W,F2 D2 U2 F2 L R2 D2 B2 L2 B2 R2 U L' D' R B' F' R2 F U F2
65,9.619,W,F' B R U' D' F U2 D2 R2 D U2 L B2 D2 R D2 L' B2 R' D2
66,14.158,R,D2 B2 D' L2 D R2 U L2 U R2 L D B' F U2 L R2 B2 R2 B2
67,11.089,Y,D2 R2 U B' R2 D B' L' D2 L U' B2 R2 F2 B2 D L2 U' D2
68,13.354,G,L2 B2 D' L2 B2 R2 U F2 D F2 U2 B' R2 B' L' D' R' B' F2 L2 F'
69,11.163,W,L U2 F' L2 D2 B' R2 D2 F' D2 B2 U' L' F' U' B2 L D L D
70,15.751,Y,U' F2 R2 U' L2 U R2 B2 U' B2 U2 R D' F2 R' U' R2 B U' L2
71,13.661,O,U2 B2 L2 F2 U' R2 B2 D U B2 L R' F' D' R2 F L2 B' R2
72,11.199,O,D2 F R' U2 F R B U2 R D2 B2 R2 F2 R2 D F2 U' D2 L'
73,12.440,R                                                                                                                                                                                                                                                         \,R' F' U' R2 F B' R D2 F U2 B2 U' L2 F2 L2 B2 U B2 R2 D
74,14.211,G,B2 L F D' L' D2 B' L F R2 D' F2 D2 R2 F2 R2 D B2 D2 F2
75,8.848,W,L B2 F2 R2 B2 D' R2 D2 U B' D F U' L2 B2 U2 B2 F2
76,14.098,G,U R U L' F L B R U' R D2 R L F2 R' F2 D2 B2 U2
77,13.139,O,R' U2 L' B2 R' U2 L' R F2 U2 R' D B D2 R2 U B2 D2 U' L2
78,15.657,R,R2 B2 U L2 F2 R2 D' F2 D B2 D' B D' L2 R F' D' U' F2 R2
79,14.478,B,U' B R L' F L F' L B F2 R2 F2 L2 U' R2 F2 U B2 R2
80,13.707,G,F U2 B2 F U2 B' R2 F2 R2 U2 R D F' R' B' R' D L' F2 U
81,10.808,Y,L2 D B2 L2 D' B2 U' L2 B2 U F R U' F2 D' F' L R D' U2 F'
82,13.220,O,D R U' R' F U F D2 R D2 F2 B2 D L2 D' R2 D F2 L2 D2
83,14.310,B,R2 F2 D' R L' F R B D' L U' F2 L2 U L2 D' B2 D2 B2 D'
84,14.802,O,U2 R2 U' F R2 B L F' L' B2 R U2 D2 F2 D2 L B2 R L B
85,13.510,W,L2 U D' R' D F' L2 F U' D2 B U2 B2 D2 F' R2 F R2 B' L2
86,12.383,O,F2 D2 L R' B2 F2 R D R' B F2 D' U' F L' B D
87,10.893,O,U D L' U R L' B2 U D L' R2 D2 F D2 R2 F B2 U2 B
88,11.149,G,B' L2 B L2 F2 D2 U2 B' D2 F R D' U2 L' D' L F' R U2 B2
89,10.366,W,D F D2 F2 R F' L U' B2 U2 F R2 D2 L2 D2 B U2 F' L2 D
90,16.668,O,U2 F2 R2 F2 R F2 U2 R B2 U L D L2 U B U' R' B' R2
91,9.626,Y,L2 D2 B D2 R2 B U2 F R2 D R B' L R' B F2 L F' D2
92,14.105,Y,R' U2 F2 R2 B2 U' B U R F' R2 F2 U2 R2 D L2 D2 B2 D'
93,10.259,Y,B' L2 D2 B' U2 L2 F D2 L2 B2 F2 U L F' R' F2 D B' R2 F2
94,14.935,O,F L' D2 L' F2 D2 L2 D2 L B2 L' B R' D L' D2 U' L2 R' U2
95,14.816,G,U' L D2 R D' B' L' F' D2 L' B2 L2 F2 D' F2 D L2 B2 R2 U'
96,11.476,B,F' L D2 R' D2 B2 F2 R2 B2 D2 L U' B' F2 L' U2 L2 B' U F
97,14.035,G,R U2 R2 B2 L2 B U2 L2 D2 F' R2 F2 L D2 F L2 U' F2 D2 L'
98,12.943,Y,U' R B2 U2 L' B R B' D' R2 U D2 L2 U F2 B2 U F2 L2 F
99,12.945,G,D' F B2 L2 D R D' F D' B D2 L2 D2 L' F2 R F2 R U2 L
100,11.133,W,F2 B U2 L F L D F' B2 R L2 D' B2 L2 F2 L2 D2 L2 B2 D2
